Problem No.,Title,Q,Hints,Related URL,Why
33,"The number of FDA-approved, but now discontinued drug products that contain Fentanyl as an active ingredient",,,,
34,"In the latest FDA Weekly Enforcement Report, the number of Class I and Class II recalls involving food",,,,
35,Most viewed data set on New York state's open data portal as of this month,2,,,
36,Total number of visitors to the White House in 2012,,,,
37,The last time the CIA's Leadership page has been updated ,1,,,
38,The domain of the most visited U.S. government website right now,2,,,
39,Number of medical device recalls issued by the U.S. Food and Drug Administration in 2013,2,,,
40,Number of FOIA requests made to the Chicago Public Library,,,http://www.rcfp.org/browse-media-law-resources/news/chicago-mayor-post-all-public-records-requests-website,
41,The number of currently open medical trials involving alchol-related disorders,2,,,
42,The name of the Supreme Court justice who delivered the opinion in the most recently announced decision,,,,
43,The number of citations that resulted from FDA inspections in fiscal year 2012,,,,
44,Number of people visiting a U.S. government website right now,2,,,
45,The number of security alerts issued by US-CERT in the current year,2,,,
46,The number of Pinterest accounts maintained by U.S. State Department embassies and missions,2,,,
47,The number of international travel alerts from the U.S. State Department currently in effect,,,,
48,The difference in total White House staffmember salaries in 2014 versus 2010,,,,
49,Number of sponsored bills by Rep. Nancy Pelosi that were vetoed by the President,2,,,
50,"In the most recently transcribed Supreme Court argument, the number of times laughter broke out",,,,
51,The title of the most recent decision handed down by the U.S. Supreme Court,2,,,
52,The average wage of optomertrists according to the BLS's most recent National Occupational Employment and Wage Estimates report,,,,
53,"The total number of on-campus hate crimes as reported to the U.S. Office of Postsecondary Education, in the most recent collection year",,,,
54,The number of people on FBI's Most Wanted List for white collar crimes,2,,,
55,The number of Government Accountability Office reports and testimonies on the topic of veterans,1,,,
56,Number of times Rep. Darrell Issa's remarks have made it onto the Congressional Record,2,,,
57,"The number of comments posted to the regulation that is currently at the top of Regulations.gov's ""What's Trending"" list",,,,
58,The number of published research papers from the NSA,2,,,
59,The number of university-related datasets currently listed at data.gov,1,,,
60,Number of chapters in Title 20 (Education) of the United States Code,,,,
61,The number of miles traveled by the current U.S. Secretary of State,1,,,
62,"For all of 2013, the number of potential signals of serious risks or new safety information that resulted from the FDA's FAERS",,,,
63,"In the current dataset behind Medicare's Nusring Home Compare website, the total amount of fines received by penalized nursing homes",,The fines data is part of a 22MB zip file that you will have to download.,,
64,"from March 1 to 7, 2015, the number of times in which designated FDA policy makers met with persons outside the U.S. federal executive branch",,,,
65,"The number of failed votes in the roll calls 1 through 99, in the U.S. House of the 114th Congress",2,,,
66,The highest minimum wage as mandated by state law.,,,,
67,"According to the TSA.gov's customer satisfication survey, what is the number of customers in October 2014 who rated their overall experience with tsa.gov as ""Excellent""?",,,,
68,Number of FDA-approved prescription drugs with GlaxiSmithKline as the applicant holder,,,,
69,The average number of comments on the last 50 posts on NASA's official Instagram account,,,,
70,The highest salary possible for a White House staffmember in 2014,,,,
71,"The percent increase in number of babies named Archer nationwide in 2010 compared to 2000, according to the Social Security Administration",,,,
72,The number of magnitude 4.5+ earthquakes detected worldwide by the USGS,2,,,
73,The total amount of contributions made by lobbyists to Congress according to the latest downloadable quarterly report,,,,
74,The description of the bill most recently signed into law by the governor of Georgia,,,,
75,Total number of officer-involved shooting incidents listed by the Philadelphia Police Department ,,,,
76,The total number of publications produced by the U.S. Government Accountability Office,2,,,
77,Number of Dallas officer-involved fatal shooting incidents in 2014,2,,,
78,"Number of Cupertino, CA restaurants that have been shut down due to health violations in the last six months.",,,,
79,The change in airline revenues from baggage fees ,,,,
80,The total number of babies named Odin born in Colorado according to the Social Security Administration,,"This one will require downloading a 22MB zip file that fully unzipped, expands to more than 100MB.",,
81,The latest release date for T-100 Domestic Market (U.S. Carriers) statistics report,,,http://www.transtats.bts.gov/airports.asp,
82,"From 2010 to 2013, the total number of patient deaths listed in the FDA's Adverse Events Reporting System",2,"For this example, look for the FDA's aggregation of the data rather than compiling the (massive) raw data files on your own.",,
83,The sum of White House staffermember salaries in 2014,,,,
84,The total number of notices published on the most recent date to the Federal Register,2,,,
85,The number of iPhone units sold according to Apple Inc's most recent 10-Q report,,,,
86,Number of computer vulnerabilities in which IBM was the vendor in the latest Cyber Security Bulletin ,,,,
87,Number of airports with existing construction related activity,,,,
88,The number of posts on TSA's Instagram account,,,,
89,"In fiscal year 2013, the short description of the most frequently cited type of FDA's inspectional observations related to food products.",,,,
90,The currently serving U.S. congressmember with the most Twitter followers,,"This is the most complicated task, as it requires fetching from two entirely different data sources, one of them being the Twitter API, which also necessitates an authentication process and reading some of the documentation. I would save this for last.",,
91,Number of stop-and-frisk reports from the NYPD in 2014,2,,,
92,"The total amount paid by Rep. Aaron Schock to Lobair LLC, according to Congressional spending records in 2012-Q4, as compiled by the Sunlight Foundation",,"Use the Sunlight Foundation's ""House Expenditure Reports Database""",http://www.usatoday.com/story/news/politics/2015/02/19/schock-flights-charter-house-rules/23663247/,
93,"Number of Github repositories maintained by the GSA's 18F organization, as listed on Github.com",2,,,
94,The New York City high school with the highest average math score in the latest SAT results,,,,
95,"Since 2002, the most commonly occurring winning number in New York's Lottery Mega Millions",,,,
96,The number of scheduled arguments according to the most recent U.S. Supreme Court argument calendar,,,,
97,The New York school with the highest rate of religious exemptions to vaccinations,,,,
98,"The latest estimated population percent change for Detroit, MI, according to the latest Census QuickFacts summary.",,,,
99,"According to the Medill National Security Zone, the number of chambered guns confiscated at airports by the TSA",,,,
100,The California city whose city manager earns the most total wage per population of its city in 2012,,,,
101,"The number of women currently surving in the U.S. Congress, according to Sunlight Foundation data",,,,
